Sentence,CEFR
My sisters were cooking when I came home.,A1
"I'm putting my foot down on this one, Tom.",A1
"After the broadcast ended, we turned the radio off.",A1
I called the police and they said they'd send someone right over.,A1
I didn't think Tom would know how to do that.,A1
Mary thought she heard a mouse in the kitchen.,A1
He grew up to be a college football player.,A1
There's no way of knowing where he was going.,A1
Yanni was living in Algiers at the time.,A1
"Peter is English. Is Susan English, too?",A1
You don't need to give an answer if you don't want to.,A1
Everyone turned and started to walk away.,A1
Doing that wasn't as difficult as I thought it'd be.,A1
Would you like to study another language?,A1
Mary said she thought I was the only one who had to do that.,A1
Sami got more aggressive with the customers.,A1
Tom doesn't live in Boston. He lives in Chicago.,A1
Tom says he heard that Mary wanted to change jobs.,A1
"If anyone was to ask what the point of the story is, I really don't know.",A1
Tom told Mary that he didn't have enough money to buy what she wanted.,A1
"When I lived in Kabylie, I'd take long walks every day.",A1
This is one of the most beautiful paintings I've ever seen.,A1
Why do you think Tom won't have to do that?,A1
Mary says she'd never ask Tom to do that.,A1
Tom stared at Mary from across the room.,A1
"I'm busy helping Tom with his homework right now, so I can't do that.",A1
It didn't really happen the way Tom said it did.,A1
At last I understand what you are saying.,A1
Make sure that all of you arrive at nine.,A1
I'm quite happy with how my son is doing in school.,A1
Layla came in to get her hair done a few weeks ago.,A1
I know that Tom knows why Mary needs to do that.,A1
Tom says he would've written more if he'd known he should've.,A1
"Getting tired of walking, I took the bus.",A1
You should let Tom know that you want to do that.,A1
There are as good fish in the sea as ever came out of it.,A1
Tom told Mary he didn't want to see her again.,A1
Tom doesn't know what Mary is capable of.,A1
I don't need your money. I just need your time.,A1
Tom said that he thought Mary was good at French.,A1
Being afraid is no way to live your life.,A1
"Yesterday, I wrote a letter to my grandfather.",A1
Well-made roads extend far from the city.,A1
Tom has been working for us for some time.,A1
"Today, too, I'll be eating a nori bento.",A1
Mennad wanted to be a really good actor.,A1
Sami really wants to know what's going on.,A1
I didn't hear a word of what Tom just said.,A1
The boy who spoke to me was a new student.,A1
Tom had to write the report all over again.,A1
Tom said he thought he'd forgotten something.,A1
Sami is the happiest husband in the world.,A1
Tom wanted to come to Australia with me.,A1
I think that I'm going to be doing that tomorrow.,A1
I know that Tom didn't know that Mary needed to do that.,A1
A boy of seventeen is often as tall as his father.,A1
Why didn't you tell me Tom was sleeping?,A1
Tom doesn't remember where he parked his car.,A1
Tom said he thought Mary was the last one to do that.,A1
"Mamie sat on Tiny, the Great Dane to ride it.",A1
"Why not? ""I'm afraid he'll be angry with me.""",A1
Tom said that he wanted to sit next to Mary.,A1
He was at the wrong place at the wrong time.,A1
There was nobody standing next to the door.,A1
Tom told me that he thought he wouldn't win.,A1
Just go back to wherever it is you came from.,A1
Ziri has found another cool project for Rima.,A1
Tom thinks that doing that isn't a good idea.,A1
Student council is not a popularity contest.,A1
